iter	RMSE
0	14.26765708
1	13.35984652
2	12.55673832
3	11.91727589
4	11.23579373
5	10.69715691
6	10.15852595
7	9.680420516
8	9.280057546
9	8.809430667
10	8.454214788
11	8.175929562
12	7.874420661
13	7.625417126
14	7.358978676
15	7.140486335
16	6.940309299
17	6.753602269
18	6.597300596
19	6.441714086
20	6.330350997
21	6.209608211
22	6.092350761
23	5.980288492
24	5.892764543
25	5.800193077
26	5.734197753
27	5.67881938
28	5.620364969
29	5.559424251
30	5.508633394
31	5.466289122
32	5.421958221
33	5.386062774
34	5.361780758
35	5.329170639
36	5.297322536
37	5.27726053
38	5.252183926
39	5.228456686
40	5.211606841
41	5.186180958
42	5.163248177
43	5.150086026
44	5.129541522
45	5.112457868
46	5.095497116
47	5.083931009
48	5.071700826
49	5.059779504
50	5.049868736
51	5.036484393
52	5.022683719
53	5.011471291
54	4.992729352
55	4.985142965
56	4.97476452
57	4.959104144
58	4.944984792
59	4.939044395
60	4.92988468
61	4.91290903
62	4.903453846
63	4.887097247
64	4.877095112
65	4.865705242
66	4.848373223
67	4.841751929
68	4.839750657
69	4.826983884
70	4.817256399
71	4.805652168
72	4.794595544
73	4.788554224
74	4.7848235
75	4.774765541
76	4.766864552
77	4.756563023
78	4.747519024
79	4.73589735
80	4.726535412
81	4.720560277
82	4.712542766
83	4.705191817
84	4.703181409
85	4.692675872
86	4.688737373
87	4.679027406
88	4.673925842
89	4.662890343
90	4.655077576
91	4.645436176
92	4.63567781
93	4.627948492
94	4.618285529
95	4.61190616
96	4.602782785
97	4.60010226
98	4.589218848
99	4.584272539
